id,date,type,city,state,ideology,group,description,image
3612,2/2017,Anti-Semitic Incident:Harassment,Annapolis,MD,,,Bomb Threat - Aleph-Bet Jewish Day School,
3613,2/2017,Anti-Semitic Incident:Harassment,Owings Mills,MD,,,Bomb Threat - Rosenbloom Owings Mills JCC,
2695,01/16/2017,White Supremacist Propaganda,Woodbine,MD,Right Wing (White Supremacist),East Coast Knights,"East Coast Knights, a Klan group, posted flyers in Woodbine that included anti-Martin Luther King, Jr., imagery.",
3605,1/2017,Anti-Semitic Incident:Vandalism,Rockville,MD,,,"Perpetrator egged a Jewish family's car and left an anti-Jewish note, which included drawings of a yellow star of david and the word ""Jude.""",
3606,1/2017,Anti-Semitic Incident:Harassment,Rockville,MD,,,Bomb Threat - JCC of Greater Washington,
3607,1/2017,Anti-Semitic Incident:Harassment,Baltimore,MD,,,Bomb Threat - JCC of Greater Baltimore,
3608,1/2017,Anti-Semitic Incident:Vandalism,Baltimore,MD,,,"Anti-Semitic and racist drawings and flyers discovered in the engineering building at the University of Maryland, Baltimore County.engineering building.",
3609,1/2017,Anti-Semitic Incident:Vandalism,Kensington,MD,,,Swastika graffiti in multiple places at high school.,
959,12/2016,Anti-Semitic Incident:Harassment,Gaithersburg,MD,,,Anti-Semitic hate mail received.,
1132,10/2016,Terrorist Plot/Attack,Hyattsville,MD,Islamist,,Nelash Mohamed Das plotted to kill a Prince George-based military member with a firearm. He expressed interest in multiple killings targeting U.S. military personnel.,
1121,09/2016,Anti-Semitic Incident:Harassment,Forest Hill,MD,,,"Flyers advertising yard sale said ""No Jews"" and ""Jews Not Welcome.""",
1134,09/2016,Anti-Semitic Incident:Vandalism,New Carrollton,MD,,,Magnets and message promoting knowledge about Judaism were removed from a vehicle and left on the ground.,
8155,8/4/2016,Extremist Murder,Jessup,MD,Right Wing (White Supremacist),Maryland Aryan Brotherhood,Four members of the Maryland Aryan Brotherhood allegedly stabbed to death a member of a rival gang at Jessup Correctional Institution.,
2038,8/1/2016,Extremist/Police Shootout,Randallstown,MD,Right Wing (Anti-Government),,"Police shot and killed anti-government extremist Korryn Gaines during a standoff-turned-shootout at her home, as they tried to serve arrest warrants on her and another occupant of the home.The officers were attempting to serve warrants on Gaines for failing to appear in court for a number of charges connected to a traffic stop.",
